nom,total,libres,occupation_pct,heure,jour_semaine,minute
Beaujon,92,20,78.26,12,1,33
Paludate - Saint Jean,566,125,77.92,12,1,33
Parc Relais Les Aubiers,234,232,0.85,12,1,33
Croix De Seguey,51,0,100.0,12,1,33
Lhote,111,0,100.0,12,1,33
Alsace Lorraine,122,0,100.0,12,1,33
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,12,1,33
Les Bassins,274,131,52.19,12,1,33
Pey Berland - Saint Christoly,399,98,75.44,12,1,33
Bassins A Flots,250,135,46.0,12,1,33
Brienne,300,173,42.33,12,1,33
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,12,1,33
Merignac Centre,285,200,29.82,12,1,33
P3 Belcier Arret Minute - Gare Saint Jean,103,9,91.26,12,1,33
Amedee St Germain,639,256,59.94,12,1,33
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,12,1,33
Parking Brazza Yespark,444,0,100.0,12,1,33
Belvedere,400,348,13.0,12,1,33
Parc Relais Lycee Sud Medoc,117,0,100.0,12,1,33
Saint Jean Armagnac,496,0,100.0,12,1,33
Amplitude,396,150,62.12,12,1,33
Parc Relais Brandenburg,211,2,99.05,12,1,35
Bord'Eau Village,540,261,51.67,12,1,35
Clemenceau,379,211,44.33,12,1,35
Meunier - Saint Jean,323,116,64.09,12,1,35
Bonnac,163,0,100.0,12,1,35
Bastide Niel,248,0,100.0,12,1,35
P4 Belcier -  Gare Saint Jean,600,0,100.0,12,1,35
Grand Parc,341,112,67.16,12,1,35
Parc Relais Quarante Journaux,200,185,7.5,12,1,35
Gare Parempuyre,151,0,100.0,12,1,35
Parc Relais Cantinolle,620,534,13.87,12,1,35
Parc Relais De L'Hippodrome,250,63,74.8,12,1,35
Centre Commercant Ginko,930,808,13.12,12,1,35
Parc Relais La Gardette Nord,242,61,74.79,12,1,35
Parc Relais Gare De Begles,193,193,0.0,12,1,35
Begles Les Secheries,300,294,2.0,12,1,35
Parc Relais Gare De Blanquefort,206,3,98.54,12,1,35
Victor Hugo,634,256,59.62,12,1,35
Victoire,466,244,47.64,12,1,35
Tourny,950,266,72.0,12,1,35
Front Du Medoc,70,70,0.0,12,1,35
Centre Commercial Meriadeck,1230,744,39.51,12,1,35
Huit Mai 45,399,108,72.93,12,1,35
Gambetta,438,49,88.81,12,1,35
Capucins,270,0,100.0,12,1,35
Camille Jullian,338,194,42.6,12,1,35
Republique,361,118,67.31,12,1,35
Grands Hommes,415,156,62.41,12,1,35
Bourse - Jaures,1300,791,39.15,12,1,35
Salinieres,400,97,75.75,12,1,35
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,12,1,35
Leroy,137,0,100.0,12,1,35
Rue De Begles,63,0,100.0,12,1,35
P3 Belcier - Gare Saint Jean,767,0,100.0,12,1,35
Parc Relais Ravezies Le Bouscat,366,46,87.43,12,1,35
Liberation,137,31,77.37,12,1,35
Laharpe,80,10,87.5,12,1,35
Parc Relais Gare De Bruges ,57,44,22.81,12,1,35
Parc Relais Floirac Dravemont,52,52,0.0,12,1,35
Floirac Arena,962,944,1.87,12,1,35
Parc Relais Le Haillan Rostand,204,136,33.33,12,1,35
Parc Relais La Gardette Sud,151,107,29.14,12,1,35
Parc Relais Lauriers,149,70,53.02,12,1,35
Parc Relais Buttiniere,600,0,100.0,12,1,35
Aeroport P0 Confort,341,0,100.0,12,1,35
Aeroport Pr Express,108,0,100.0,12,1,35
Parc Relais Arlac,393,388,1.27,12,1,35
Parc Relais Quatre Chemins,396,219,44.7,12,1,35
Aeroport P4 Longue Duree,3427,0,100.0,12,1,35
Aeroport P2 Flexi,3377,0,100.0,12,1,35
Aeroport P1 Proxi,375,0,100.0,12,1,35
Pessac Centre,400,243,39.25,12,1,35
Parc Relais Bougnard,168,168,0.0,12,1,35
Parc Relais Unitec,218,0,100.0,12,1,35
Parc Relais Gare De Pessac Alouette,148,105,29.05,12,1,35
Parc Relais Arts Et Metiers,590,593,-0.51,12,1,35
Talence 7e Art,321,0,100.0,12,1,35
Parc Relais Cap Metiers,146,132,9.59,12,1,35
Ars - Belcier,225,134,40.44,12,1,35
Bordeaux Bastide,158,0,100.0,12,1,35
Parc Relais Les Pins,220,201,8.64,12,1,35
Parc Relais Villenave Pyrenees,399,164,58.9,12,1,35
Gare Blanquefort,151,0,100.0,12,1,35
Cite Mondiale,842,217,74.23,12,1,35
Gare Saint Jean,267,13,95.13,12,1,35
Porte De Bordeaux,344,93,72.97,12,1,35
Megarama,526,0,100.0,12,1,35
Allees De Chartres,415,54,86.99,12,1,35
Parc Relais Stalingrad,120,6,95.0,12,1,35
Parc Relais Galin,279,2,99.28,12,1,35
Bergonie,69,44,36.23,12,1,35
Beaujon,92,20,78.26,12,1,35
Paludate - Saint Jean,566,126,77.74,12,1,35
Parc Relais Les Aubiers,234,232,0.85,12,1,35
Croix De Seguey,51,0,100.0,12,1,35
Lhote,111,0,100.0,12,1,35
Alsace Lorraine,122,0,100.0,12,1,35
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,12,1,35
Les Bassins,274,131,52.19,12,1,35
Pey Berland - Saint Christoly,399,97,75.69,12,1,35
Bassins A Flots,250,133,46.8,12,1,35
Brienne,300,172,42.67,12,1,35
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,12,1,35
Merignac Centre,285,200,29.82,12,1,35
P3 Belcier Arret Minute - Gare Saint Jean,103,9,91.26,12,1,35
Amedee St Germain,639,257,59.78,12,1,35
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,12,1,35
Parking Brazza Yespark,444,0,100.0,12,1,35
Belvedere,400,348,13.0,12,1,35
Parc Relais Lycee Sud Medoc,117,0,100.0,12,1,35
Saint Jean Armagnac,496,0,100.0,12,1,35
Amplitude,396,150,62.12,12,1,35
Parc Relais Brandenburg,211,1,99.53,12,1,37
Bord'Eau Village,540,261,51.67,12,1,37
Clemenceau,379,211,44.33,12,1,37
Meunier - Saint Jean,323,115,64.4,12,1,37
Bonnac,163,0,100.0,12,1,37
Bastide Niel,248,0,100.0,12,1,37
P4 Belcier -  Gare Saint Jean,600,0,100.0,12,1,37
Grand Parc,341,113,66.86,12,1,37
Parc Relais Quarante Journaux,200,185,7.5,12,1,37
Gare Parempuyre,151,0,100.0,12,1,37
Parc Relais Cantinolle,620,534,13.87,12,1,37
Parc Relais De L'Hippodrome,250,63,74.8,12,1,37
Centre Commercant Ginko,930,808,13.12,12,1,37
Parc Relais La Gardette Nord,242,62,74.38,12,1,37
Parc Relais Gare De Begles,193,193,0.0,12,1,37
Begles Les Secheries,300,294,2.0,12,1,37
Parc Relais Gare De Blanquefort,206,3,98.54,12,1,37
Victor Hugo,634,256,59.62,12,1,37
Victoire,466,244,47.64,12,1,37
Tourny,950,266,72.0,12,1,37
Front Du Medoc,70,70,0.0,12,1,37
Centre Commercial Meriadeck,1230,742,39.67,12,1,37
Huit Mai 45,399,106,73.43,12,1,37
Gambetta,438,50,88.58,12,1,37
Capucins,270,0,100.0,12,1,37
Camille Jullian,338,195,42.31,12,1,37
Republique,361,118,67.31,12,1,37
Grands Hommes,415,156,62.41,12,1,37
Bourse - Jaures,1300,791,39.15,12,1,37
Salinieres,400,98,75.5,12,1,37
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,12,1,37
Leroy,137,0,100.0,12,1,37
Rue De Begles,63,0,100.0,12,1,37
P3 Belcier - Gare Saint Jean,767,0,100.0,12,1,37
Parc Relais Ravezies Le Bouscat,366,46,87.43,12,1,37
Liberation,137,30,78.1,12,1,37
Laharpe,80,10,87.5,12,1,37
Parc Relais Gare De Bruges ,57,44,22.81,12,1,37
Parc Relais Floirac Dravemont,52,52,0.0,12,1,37
Floirac Arena,962,944,1.87,12,1,37
Parc Relais Le Haillan Rostand,204,136,33.33,12,1,37
Parc Relais La Gardette Sud,151,107,29.14,12,1,37
Parc Relais Lauriers,149,70,53.02,12,1,37
Parc Relais Buttiniere,600,0,100.0,12,1,37
Aeroport P0 Confort,341,0,100.0,12,1,37
Aeroport Pr Express,108,0,100.0,12,1,37
Parc Relais Arlac,393,388,1.27,12,1,37
Parc Relais Quatre Chemins,396,218,44.95,12,1,37
Aeroport P4 Longue Duree,3427,0,100.0,12,1,37
Aeroport P2 Flexi,3377,0,100.0,12,1,37
Aeroport P1 Proxi,375,0,100.0,12,1,37
Pessac Centre,400,243,39.25,12,1,37
Parc Relais Bougnard,168,168,0.0,12,1,37
Parc Relais Unitec,218,0,100.0,12,1,37
Parc Relais Gare De Pessac Alouette,148,105,29.05,12,1,37
Parc Relais Arts Et Metiers,590,593,-0.51,12,1,37
Talence 7e Art,321,0,100.0,12,1,37
Parc Relais Cap Metiers,146,131,10.27,12,1,37
Ars - Belcier,225,134,40.44,12,1,37
Bordeaux Bastide,158,0,100.0,12,1,37
Parc Relais Les Pins,220,201,8.64,12,1,37
Parc Relais Villenave Pyrenees,399,163,59.15,12,1,37
Gare Blanquefort,151,0,100.0,12,1,37
Cite Mondiale,842,217,74.23,12,1,37
Gare Saint Jean,267,13,95.13,12,1,37
Porte De Bordeaux,344,92,73.26,12,1,37
Megarama,526,0,100.0,12,1,37
Allees De Chartres,415,48,88.43,12,1,37
Parc Relais Stalingrad,120,5,95.83,12,1,37
Parc Relais Galin,279,0,100.0,12,1,37
Bergonie,69,43,37.68,12,1,37
Beaujon,92,19,79.35,12,1,37
Paludate - Saint Jean,566,125,77.92,12,1,37
Parc Relais Les Aubiers,234,232,0.85,12,1,37
Croix De Seguey,51,0,100.0,12,1,37
Lhote,111,0,100.0,12,1,37
Alsace Lorraine,122,0,100.0,12,1,37
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,12,1,37
Les Bassins,274,131,52.19,12,1,37
Pey Berland - Saint Christoly,399,96,75.94,12,1,37
Bassins A Flots,250,132,47.2,12,1,37
Brienne,300,172,42.67,12,1,37
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,12,1,37
Merignac Centre,285,201,29.47,12,1,37
P3 Belcier Arret Minute - Gare Saint Jean,103,8,92.23,12,1,37
Amedee St Germain,639,258,59.62,12,1,37
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,12,1,37
Parking Brazza Yespark,444,0,100.0,12,1,37
Belvedere,400,348,13.0,12,1,37
Parc Relais Lycee Sud Medoc,117,0,100.0,12,1,37
Saint Jean Armagnac,496,0,100.0,12,1,37
Amplitude,396,147,62.88,12,1,37
Parc Relais Brandenburg,211,2,99.05,12,1,39
Bord'Eau Village,540,262,51.48,12,1,39
Clemenceau,379,212,44.06,12,1,39
Meunier - Saint Jean,323,115,64.4,12,1,39
Bonnac,163,0,100.0,12,1,39
Bastide Niel,248,0,100.0,12,1,39
P4 Belcier -  Gare Saint Jean,600,0,100.0,12,1,39
Grand Parc,341,113,66.86,12,1,39
Parc Relais Quarante Journaux,200,185,7.5,12,1,39
Gare Parempuyre,151,0,100.0,12,1,39
Parc Relais Cantinolle,620,534,13.87,12,1,39
Parc Relais De L'Hippodrome,250,62,75.2,12,1,39
Centre Commercant Ginko,930,804,13.55,12,1,39
Parc Relais La Gardette Nord,242,61,74.79,12,1,39
Parc Relais Gare De Begles,193,193,0.0,12,1,39
Begles Les Secheries,400,232,42.0,12,1,39
Parc Relais Gare De Blanquefort,206,2,99.03,12,1,39
Victor Hugo,634,256,59.62,12,1,39
Victoire,466,243,47.85,12,1,39
Tourny,950,266,72.0,12,1,39
Front Du Medoc,70,70,0.0,12,1,39
Centre Commercial Meriadeck,1230,744,39.51,12,1,39
Huit Mai 45,399,106,73.43,12,1,39
Gambetta,438,50,88.58,12,1,39
Capucins,270,0,100.0,12,1,39
Camille Jullian,338,196,42.01,12,1,39
Republique,361,120,66.76,12,1,39
Grands Hommes,415,159,61.69,12,1,39
Bourse - Jaures,1300,793,39.0,12,1,39
Salinieres,400,96,76.0,12,1,39
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,12,1,39
Leroy,137,0,100.0,12,1,39
Rue De Begles,63,0,100.0,12,1,39
P3 Belcier - Gare Saint Jean,767,0,100.0,12,1,39
Parc Relais Ravezies Le Bouscat,366,45,87.7,12,1,39
Liberation,137,30,78.1,12,1,39
Laharpe,80,8,90.0,12,1,39
Parc Relais Gare De Bruges ,57,44,22.81,12,1,39
Parc Relais Floirac Dravemont,52,52,0.0,12,1,39
Floirac Arena,962,944,1.87,12,1,39
Parc Relais Le Haillan Rostand,204,136,33.33,12,1,39
Parc Relais La Gardette Sud,151,107,29.14,12,1,39
Parc Relais Lauriers,149,69,53.69,12,1,39
Parc Relais Buttiniere,600,0,100.0,12,1,39
Aeroport P0 Confort,341,0,100.0,12,1,39
Aeroport Pr Express,108,0,100.0,12,1,39
Parc Relais Arlac,393,387,1.53,12,1,39
Parc Relais Quatre Chemins,396,217,45.2,12,1,39
Aeroport P4 Longue Duree,3427,0,100.0,12,1,39
Aeroport P2 Flexi,3377,0,100.0,12,1,39
Aeroport P1 Proxi,375,0,100.0,12,1,39
Pessac Centre,400,248,38.0,12,1,39
Parc Relais Bougnard,168,168,0.0,12,1,39
Parc Relais Unitec,218,0,100.0,12,1,39
Parc Relais Gare De Pessac Alouette,148,104,29.73,12,1,39
Parc Relais Arts Et Metiers,590,593,-0.51,12,1,39
Talence 7e Art,321,0,100.0,12,1,39
Parc Relais Cap Metiers,146,131,10.27,12,1,39
Ars - Belcier,225,134,40.44,12,1,39
Bordeaux Bastide,158,0,100.0,12,1,39
Parc Relais Les Pins,220,201,8.64,12,1,39
Parc Relais Villenave Pyrenees,399,163,59.15,12,1,39
Gare Blanquefort,151,0,100.0,12,1,39
Cite Mondiale,842,217,74.23,12,1,39
Gare Saint Jean,267,17,93.63,12,1,39
Porte De Bordeaux,344,94,72.67,12,1,39
Megarama,526,0,100.0,12,1,39
Allees De Chartres,415,47,88.67,12,1,39
Parc Relais Stalingrad,120,4,96.67,12,1,39
Parc Relais Galin,279,1,99.64,12,1,39
Bergonie,69,43,37.68,12,1,39
Beaujon,92,20,78.26,12,1,39
Paludate - Saint Jean,566,127,77.56,12,1,39
Parc Relais Les Aubiers,234,232,0.85,12,1,39
Croix De Seguey,51,0,100.0,12,1,39
Lhote,111,0,100.0,12,1,39
Alsace Lorraine,122,0,100.0,12,1,39
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,12,1,39
Les Bassins,274,131,52.19,12,1,39
Pey Berland - Saint Christoly,399,99,75.19,12,1,39
Bassins A Flots,250,133,46.8,12,1,39
Brienne,300,172,42.67,12,1,39
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,12,1,39
Merignac Centre,285,201,29.47,12,1,39
P3 Belcier Arret Minute - Gare Saint Jean,103,7,93.2,12,1,39
Amedee St Germain,639,258,59.62,12,1,39
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,12,1,39
Parking Brazza Yespark,444,0,100.0,12,1,39
Belvedere,400,348,13.0,12,1,39
Parc Relais Lycee Sud Medoc,117,0,100.0,12,1,39
Saint Jean Armagnac,496,0,100.0,12,1,39
Amplitude,396,145,63.38,12,1,39
Parc Relais Brandenburg,211,2,99.05,12,1,41
Bord'Eau Village,540,263,51.3,12,1,41
Clemenceau,379,209,44.85,12,1,41
Meunier - Saint Jean,323,114,64.71,12,1,41
Bonnac,163,0,100.0,12,1,41
Bastide Niel,248,0,100.0,12,1,41
P4 Belcier -  Gare Saint Jean,600,0,100.0,12,1,41
Grand Parc,341,118,65.4,12,1,41
Parc Relais Quarante Journaux,200,185,7.5,12,1,41
Gare Parempuyre,151,0,100.0,12,1,41
Parc Relais Cantinolle,620,534,13.87,12,1,41
Parc Relais De L'Hippodrome,250,61,75.6,12,1,41
Centre Commercant Ginko,930,804,13.55,12,1,41
Parc Relais La Gardette Nord,242,62,74.38,12,1,41
Parc Relais Gare De Begles,193,193,0.0,12,1,41
Begles Les Secheries,400,231,42.25,12,1,41
Parc Relais Gare De Blanquefort,206,2,99.03,12,1,41
Victor Hugo,634,257,59.46,12,1,41
Victoire,466,243,47.85,12,1,41
Tourny,950,260,72.63,12,1,41
Front Du Medoc,70,70,0.0,12,1,41
Centre Commercial Meriadeck,1230,743,39.59,12,1,41
Huit Mai 45,399,106,73.43,12,1,41
Gambetta,438,46,89.5,12,1,41
Capucins,270,0,100.0,12,1,41
Camille Jullian,338,197,41.72,12,1,41
Republique,361,122,66.2,12,1,41
Grands Hommes,415,158,61.93,12,1,41
Bourse - Jaures,1300,795,38.85,12,1,41
Salinieres,400,94,76.5,12,1,41
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,12,1,41
Leroy,137,0,100.0,12,1,41
Rue De Begles,63,0,100.0,12,1,41
P3 Belcier - Gare Saint Jean,767,0,100.0,12,1,41
Parc Relais Ravezies Le Bouscat,366,45,87.7,12,1,41
Liberation,137,31,77.37,12,1,41
Laharpe,80,9,88.75,12,1,41
Parc Relais Gare De Bruges ,57,44,22.81,12,1,41
Parc Relais Floirac Dravemont,52,52,0.0,12,1,41
Floirac Arena,962,945,1.77,12,1,41
Parc Relais Le Haillan Rostand,204,135,33.82,12,1,41
Parc Relais La Gardette Sud,151,107,29.14,12,1,41
Parc Relais Lauriers,149,69,53.69,12,1,41
Parc Relais Buttiniere,600,1,99.83,12,1,41
Aeroport P0 Confort,341,0,100.0,12,1,41
Aeroport Pr Express,108,0,100.0,12,1,41
Parc Relais Arlac,393,387,1.53,12,1,41
Parc Relais Quatre Chemins,396,219,44.7,12,1,41
Aeroport P4 Longue Duree,3427,0,100.0,12,1,41
Aeroport P2 Flexi,3377,0,100.0,12,1,41
Aeroport P1 Proxi,375,0,100.0,12,1,41
Pessac Centre,400,247,38.25,12,1,41
Parc Relais Bougnard,168,168,0.0,12,1,41
Parc Relais Unitec,218,0,100.0,12,1,41
Parc Relais Gare De Pessac Alouette,148,104,29.73,12,1,41
Parc Relais Arts Et Metiers,590,593,-0.51,12,1,41
Talence 7e Art,321,0,100.0,12,1,41
Parc Relais Cap Metiers,146,131,10.27,12,1,41
Ars - Belcier,225,134,40.44,12,1,41
Bordeaux Bastide,158,0,100.0,12,1,41
Parc Relais Les Pins,220,201,8.64,12,1,41
Parc Relais Villenave Pyrenees,399,163,59.15,12,1,41
Gare Blanquefort,151,0,100.0,12,1,41
Cite Mondiale,842,218,74.11,12,1,41
Gare Saint Jean,267,18,93.26,12,1,41
Porte De Bordeaux,344,95,72.38,12,1,41
Megarama,526,0,100.0,12,1,41
Allees De Chartres,415,52,87.47,12,1,41
Parc Relais Stalingrad,120,4,96.67,12,1,41
Parc Relais Galin,279,0,100.0,12,1,41
Bergonie,69,46,33.33,12,1,41
Beaujon,92,20,78.26,12,1,41
Paludate - Saint Jean,566,125,77.92,12,1,41
Parc Relais Les Aubiers,234,232,0.85,12,1,41
Croix De Seguey,51,0,100.0,12,1,41
Lhote,111,0,100.0,12,1,41
Alsace Lorraine,122,0,100.0,12,1,41
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,12,1,41
Les Bassins,274,131,52.19,12,1,41
Pey Berland - Saint Christoly,399,99,75.19,12,1,41
Bassins A Flots,250,131,47.6,12,1,41
Brienne,300,172,42.67,12,1,41
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,12,1,41
Merignac Centre,285,201,29.47,12,1,41
P3 Belcier Arret Minute - Gare Saint Jean,103,7,93.2,12,1,41
Amedee St Germain,639,256,59.94,12,1,41
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,12,1,41
Parking Brazza Yespark,444,0,100.0,12,1,41
Belvedere,400,348,13.0,12,1,41
